Publication	Sample-type	Sample-ID	Group-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Thickn(cm)	Density(g/cm3)	Shield	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Publ-10-age(yr)	Publ-10-unc(yr)	Publ-26-age(yr)	Publ-26-unc(yr)	10Be-age(yr)	10-ext-unc(yr)	10-int-unc(yr)	26Al-age(yr)	26-ext-unc(yr)	26-int-unc(yr)	Extra-publ
Makos et al. (2018)	boulder	Mako2018-28	Mako2018-F	PSP-17	49.2123	20.0429	1672	6.9	2.7	0.9814	241747	8061	07KNSTD	0	0	0	2016	15700	500	-	-	15255	1072	511	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-29	Mako2018-F	PSP-18	49.2123	20.0429	1672	6.3	2.7	0.9814	241422	7601	07KNSTD	0	0	0	2016	15600	500	-	-	15162	1053	479	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-30	Mako2018-G	PSP-11	49.2092	20.0321	1715	3.8	2.7	0.9853	252192	7928	07KNSTD	0	0	0	2016	15400	500	-	-	14935	1036	471	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-31	Mako2018-G	PSP-12	49.2092	20.0321	1715	4.1	2.7	0.9853	235379	8235	07KNSTD	0	0	0	2016	14400	500	-	-	14014	996	492	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-32	Mako2018-G	PSP-13	49.2092	20.0321	1715	4.9	2.7	0.9853	263241	8463	07KNSTD	0	0	0	2016	16200	500	-	-	15699	1095	507	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-33	Mako2018-G	PSP-14	49.2092	20.0321	1715	4.1	2.7	0.9853	226312	8764	07KNSTD	0	0	0	2016	13800	600	-	-	13508	986	525	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-34	Mako2018-H	PSP-01	49.2150	20.0242	1940	3.6	2.7	0.9358	209472	7134	07KNSTD	0	0	0	2016	11300	400	-	-	11166	788	381	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-35	Mako2018-H	PSP-02	49.2150	20.0242	1940	4.1	2.7	0.9358	223612	7765	07KNSTD	0	0	0	2016	12100	400	-	-	11903	844	415	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-36	Mako2018-H	PSP-03	49.2150	20.0242	1940	3.8	2.7	0.9358	183011	10612	07KNSTD	0	0	0	2016	9900	600	-	-	9859	836	573	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-37	Mako2018-H	PSP-04	49.2150	20.0242	1940	6.1	2.7	0.9358	216817	8510	07KNSTD	0	0	0	2016	11900	500	-	-	11756	861	463	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-38	Mako2018-H	PSP-05	49.2150	20.0242	1940	5.1	2.7	0.9358	167876	7513	07KNSTD	0	0	0	2016	9100	400	-	-	9171	700	411	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-39	Mako2018-I	PSP-06	49.2161	20.0241	1969	3.1	2.7	0.9366	225562	25827	07KNSTD	0	0	0	2016	11900	1400	-	-	11657	1520	1339	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-40	Mako2018-I	PSP-07	49.2160	20.0240	1967	4.9	2.7	0.9366	234041	8976	07KNSTD	0	0	0	2016	12500	500	-	-	12237	890	471	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-41	Mako2018-I	PSP-08	49.2159	20.0240	1962	4.6	2.7	0.9366	259296	9650	07KNSTD	0	0	0	2016	13900	500	-	-	13470	972	503	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-42	Mako2018-I	PSP-09	49.2158	20.0236	1964	6.7	2.7	0.9366	266873	10169	07KNSTD	0	0	0	2016	14600	600	-	-	14051	1021	537	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-43	Mako2018-I	PSP-10	49.2159	20.0233	1959	5	2.7	0.9366	266141	8413	07KNSTD	0	0	0	2016	14400	500	-	-	13877	964	440	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-44	Mako2018-J	RP-01	49.2115	20.0812	1378	4.2	2.7	0.9700	209927	8326	07KNSTD	0	0	0	2016	17000	700	-	-	16595	1221	661	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-45	Mako2018-J	RP-02	49.2113	20.0811	1364	8.7	2.7	0.9700	194311	6894	07KNSTD	0	0	0	2016	16500	600	-	-	16165	1153	576	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-46	Mako2018-J	RP-03	49.2115	20.0813	1361	4.7	2.7	0.9700	210908	12887	07KNSTD	0	0	0	2016	17400	1100	-	-	16972	1479	1041	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-47	Mako2018-J	RP-04	49.2116	20.0811	1370	4	2.7	0.9700	196697	9060	07KNSTD	0	0	0	2016	16000	800	-	-	15655	1209	724	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-48	Mako2018-J	RP-05	49.2123	20.0813	1350	6.7	2.7	0.9700	191583	6345	07KNSTD	0	0	0	2016	16200	600	-	-	15860	1113	527	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-49	Mako2018-K	RP-11	49.2016	20.0733	1415	4.7	2.7	0.9518	231479	10095	07KNSTD	0	0	0	2016	18700	800	-	-	18113	1373	793	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-50	Mako2018-K	RP-12	49.2016	20.0733	1415	6.7	2.7	0.9518	189673	7500	07KNSTD	0	0	0	2016	15500	600	-	-	15190	1116	603	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-51	Mako2018-K	RP-13	49.2015	20.0729	1411	2.7	2.7	0.9518	185464	11120	07KNSTD	0	0	0	2016	14700	900	-	-	14436	1245	869	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-52	Mako2018-K	RP-14	49.2015	20.0729	1411	3.7	2.7	0.9518	186888	8778	07KNSTD	0	0	0	2016	14900	700	-	-	14665	1140	691	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-53	Mako2018-L	RP-06	49.1903	20.0739	1602	6	2.7	0.9387	231544	12117	07KNSTD	0	0	0	2016	16500	900	-	-	16016	1299	842	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-54	Mako2018-L	RP-07	49.1903	20.0739	1602	4.4	2.7	0.9387	190527	10543	07KNSTD	0	0	0	2016	13300	800	-	-	13121	1090	728	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-55	Mako2018-L	RP-08	49.1903	20.0739	1602	7.1	2.7	0.9387	280123	12047	07KNSTD	0	0	0	2016	20300	900	-	-	19422	1466	839	-	-	-	-
Makos et al. (2018)	bedrock	Mako2018-56	Mako2018-L	RP-09	49.1902	20.0735	1578	4.2	2.7	0.9387	163411	8055	07KNSTD	0	0	0	2016	11600	600	-	-	11596	917	573	-	-	-	-
Makos et al. (2018)	boulder	Mako2018-57	Mako2018-L	RP-10	49.1902	20.0735	1578	3.7	2.7	0.9387	212418	7618	07KNSTD	0	0	0	2016	15100	600	-	-	14743	1054	531	-	-	-	-

Reference:
Makos M, Rinterknecht V, Braucher R, Tołoczko-Pasek A, Arnold M, Aumaître G, Bourlès D, Keddadouche K, 2018. Last glacial maximum and lateglacial in the Polish High Tatra Mountains – revised deglaciation chronology based on the 10Be exposure age dating. Quaternary Science Reviews 187, 130-156.

Data comments:
Sampling year assumed to be 2016.
Group ID based on publication (Table 1).

expage.github.io - data from expage-202306
